omega,a,N,depth,node_index,d,e,span_width,theta_mean,theta_std,theta_min,theta_max,minimum_cosine,minimum_sine,left_phase_summary,right_phase_summary,local_reconstruction_residual,unitarity_residual,symmetry_residual,control
2,2,32,3,5,7,16,8,1.1035519775305485,0.6412812757905497,2.1584347598372467e-12,1.5664328958464313,0.004363417102199681,2.1584347598372467e-12,0.3238404078600153,-0.37458807702260566,1.2844654267898548e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,10,7,32,4,0.8199428603837727,0.3197928643996203,0.5001499959841524,1.139735724783393,0.41783461868687505,0.47955716707050666,0.0,0.6821346982134159,5.921236456525501e-16,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,11,9,32,4,0.7225443818228015,0.7225443818223121,4.8940464335056e-13,1.4450887636451135,0.1253767446243531,4.8940464335056e-13,5.551115123125783e-17,0.0,4.999835345361954e-16,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,2,3,3,8,16,0.9766696461150913,0.43125750922932826,0.013420750629966224,1.50847637152987,0.06227962363145233,0.01342034775038318,-0.02942569100282484,0.3447555253311159,3.906934879474792e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,3,6,3,16,8,0.9496776779916789,0.36789360632994095,0.32718703408333416,1.2650830930309038,0.3009734146239082,0.32138056499705353,0.00904352719807272,-0.21743099831926277,1.860916286186439e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,12,3,32,4,0.7618073777831681,0.18275466041958943,0.5790527173635787,0.9445620382027575,0.5860977895248315,0.547231324483013,5.551115123125783e-17,-0.41109221182328987,8.375043870853058e-16,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,13,13,32,4,0.6933629947723433,0.6025078820684316,0.09085511270391161,1.295870876840775,0.2714751873589522,0.09073016806832197,-1.6653345369377348e-16,0.0,1.2157124676466728e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,3,7,5,16,8,0.7626429730955244,0.24390362296952733,0.5191642386447898,1.16556684693555,0.3942296654830439,0.496154674659844,-0.21569962905536566,0.4640372233697211,1.8046446906513242e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,14,5,32,4,0.7526913297380244,0.4791857099356452,0.27350561980237925,1.2318770396736696,0.3324680504840874,0.27010840512891265,5.551115123125783e-17,-0.8347060391225003,8.715637479333263e-16,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,32,4,15,11,32,4,0.6350664352107855,0.2677454739098262,0.3673209613009593,0.9028119091206117,0.6194048696102621,0.3591163962126212,0.9979225959613386,0.0,2.6429597699650467e-15,5.207980686285012e-15,1.6553591745650837e-16,zeta
2,2,64,0,0,1,2,128,1.4218660398245828,0.3969158600002403,0.023774546919084046,1.5707963267948966,6.123233995736766e-17,0.02377230730482787,-0.005610219503232157,0.017057288507501996,1.3423545046580798e-14,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,1,0,1,4,64,1.0674426904195249,0.41506845323821606,0.12450024816795022,1.5485324860712035,0.02226200148436318,0.12417886523503928,0.043545005177502816,0.013235427027635296,4.473332597776796e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,2,0,1,8,32,0.6984687799430838,0.5316052098111814,0.0,1.5422355928377416,0.028556851209840847,0.0,0.021708155522304505,-0.08103911121798474,1.0034268678397827e-14,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,3,0,1,16,16,0.6367828612356565,0.5131339856865113,1.4468365066232222e-13,1.426032765275316,0.14425846840116446,1.4468365066232222e-13,0.06108484021299815,-0.18260225174997613,6.957151766813361e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,4,0,1,32,8,0.07754566475813202,0.06851641896184196,0.0014988960345639476,0.15672606450767207,0.9877435891061165,0.001498895473305058,-0.023742253087222137,0.32034820271063846,1.662540115637772e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,0,1,64,4,0.02688383174870335,0.02081249650990807,0.0060713352387952784,0.04769632825861142,0.9988627457585874,0.006071297939503075,-0.9993548014426804,0.0,1.0614251557902925e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,1,31,64,4,0.4976610934604292,0.08160424073003203,0.41605685273039716,0.5792653341904612,0.8368650385945455,0.4041568482185381,2.7755575615628914e-17,0.0,9.378816477523314e-16,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,4,1,15,32,8,1.0007883677120013,0.6357708905550169,8.820020130578772e-14,1.559609279751969,0.011186813701191414,8.820020130578772e-14,-0.3161514810723875,-0.0009634243647928253,1.3973418190172756e-15,6.685245323322438e-15,2.2292765653681763e-16,zeta
2,2,64,5,2,15,64,4,0.7400616219577422,0.7400616219575707,1.7135450413917828e-13,1.480123243915313,0.09054888752154593,1.7135450413917828e-13,-0.04297269365921204,-0.04297269365864325,8.351992802552032e-16,6.685245323322438e-15,2.2292765653681763e-16,zeta
