omega,a,N,symmetry_residual,lambda_min,lambda_max,spectral_radius,defect_margin,determinant_arguments_positive,logdet_plus,logdet_minus,log_m,m,quadrature,ordinary_fredholm_claim
1.01,2,128,0.0,-0.9997543684042646,0.9999345608499539,0.9999345608499539,0.00013087401780986774,True,-15.710104838691933,-21.242348510821053,5.53224367212912,252.7102744184931,midpoint_log_grid_split-aware-kernel-sampling,True
1.01,3,128,0.0,-0.9997798797327847,0.9999451819130492,0.9999451819130492,0.00010963316887901975,True,-37.11470986481487,-42.91122230090801,5.796512436093138,329.1496254865141,midpoint_log_grid_split-aware-kernel-sampling,True
1.01,4,128,0.0,-0.999789002276714,0.9999458445935947,0.9999458445935947,0.0001083078800026005,True,-53.15245916708473,-59.1102879326656,5.957828765580871,386.7694447811862,midpoint_log_grid_split-aware-kernel-sampling,True
0.95,1.05,128,0.0,-0.14220694697435704,0.36045013157447814,0.36045013157447814,0.8700757026479414,True,0.19400688418185064,-0.37842471207344286,0.5724315962552935,1.7725719947953,midpoint_log_grid_split-aware-kernel-sampling,True
0.95,1.1,128,0.0,-0.26620228787166655,0.5978412308680487,0.5978412308680487,0.6425858626741765,True,0.2130751519519971,-0.8173665350220186,1.0304416869740156,2.8023033022581587,midpoint_log_grid_split-aware-kernel-sampling,True
0.95,1.25,128,0.0,-0.590688767835099,0.9305531252677548,0.9305531252677548,0.13407088105441423,True,-0.23819656709318493,-2.6503193721933584,2.4121228051001733,11.157621478822717,midpoint_log_grid_split-aware-kernel-sampling,True
0.95,1.5,128,0.0,-0.9823777200865434,0.9997114979603934,0.9997114979603934,0.0005769208457864217,True,-3.5106518210386675,-9.074272664230177,5.56362084319151,260.76531933274197,midpoint_log_grid_split-aware-kernel-sampling,True
0.95,2,128,0.0,-0.9997566581807769,0.9999351041464063,0.9999351041464063,0.00012978749571557202,True,-15.959352483841714,-21.509664815075343,5.550312331233629,257.3179117771175,midpoint_log_grid_split-aware-kernel-sampling,True
0.95,3,128,0.0,-0.999780850099614,0.9999454681999755,0.9999454681999755,0.00010906062633175839,True,-37.40123690884882,-43.17730464744445,5.7760677385956285,322.48858446307867,midpoint_log_grid_split-aware-kernel-sampling,True
0.95,4,128,0.0,-0.9997898651548063,0.9999461129282514,0.9999461129282514,0.00010777123968064295,True,-53.38636436979362,-59.32831781877665,5.941953448983028,380.6778384209232,midpoint_log_grid_split-aware-kernel-sampling,True
0.8,1.05,128,0.0,-0.19363554075680645,0.42962170246492626,0.42962170246492626,0.8154251927711383,True,0.18186163223827967,-0.4933691143553281,0.6752307465936078,1.964486222179284,midpoint_log_grid_split-aware-kernel-sampling,True
0.8,1.1,128,0.0,-0.3289580715828291,0.6554487626428822,0.6554487626428822,0.5703869195499147,True,0.1314201177487505,-1.0103278840860481,1.1417480018347987,3.132238741746725,midpoint_log_grid_split-aware-kernel-sampling,True
0.8,1.25,128,0.0,-0.6457639418833955,0.9442784031875033,0.9442784031875033,0.10833829727365885,True,-0.5174651914423332,-3.0526140034661946,2.5351488120238614,12.61830846434778,midpoint_log_grid_split-aware-kernel-sampling,True
0.8,1.5,128,0.0,-0.9865393802705413,0.9997728252856419,0.9997728252856419,0.0004542978203653236,True,-4.132823027987349,-9.781038313126512,5.648215285139163,283.7845391144273,midpoint_log_grid_split-aware-kernel-sampling,True
0.8,2,128,0.0,-0.9997620953718983,0.9999366978950123,0.9999366978950123,0.00012660020281896056,True,-16.770213595536713,-22.355686908742058,5.585473313205345,266.52640335611557,midpoint_log_grid_split-aware-kernel-sampling,True
0.8,3,128,0.0,-0.9997838890167439,0.9999463236982901,0.9999463236982901,0.0001073497222745523,True,-38.33109443581961,-44.034928231262896,5.703833795443288,300.0153966312062,midpoint_log_grid_split-aware-kernel-sampling,True
