task,width,model,parameters,validation_score,effective_affine_dof,score,learning_auc,seconds,steps_to_80,steps_to_90,accuracy,normalized_mse,tail_score,tail_survival,jacobian_variability,base_only_drop,uniform_drop,mismatched_drop,up_allocation_variation,down_allocation_variation,up_correction_ratio,down_correction_ratio
multiscale_1d,36,ordinary_mlp,7741,0.8141138494052242,,0.1395919491594195,0.7826964741364262,0.5321138329999826,650.0,,,6.187092304229736,0.19026513574630854,,2.2946824630101523,,,,,,,
multiscale_1d,36,soft_eikonal,7741,0.979796159853071,,0.2776074332726256,0.9272217058634871,4.0766583056666645,75.0,191.66666666666666,,2.779319961865743,0.3281778231470018,,2.5361189047495523,0.37999216565569355,0.36075110842655134,0.5464661442103447,0.09702440227071445,0.18034324049949646,0.06104396531979243,0.40819478034973145
periodic_nd,16,ordinary_mlp,2373,0.5708449152986161,,0.5708449152986161,0.5634816442588343,0.3480478749999823,,,,0.7518589695294698,,,3.5621857245763144,,,,,,,
periodic_nd,16,soft_eikonal,2373,0.5941537557576683,,0.5941537557576683,0.5698167100377419,3.915521041666674,,,,0.6845542987187704,,,3.816807428995768,0.08611824732731353,0.06278761880428323,0.10847956584065453,0.11514120052258174,0.07527074217796326,0.14323090513547262,0.47820718089739483
periodic_nd,36,ordinary_mlp,7993,0.5808484040848539,,0.5808484040848539,0.566248870532412,0.540097277999981,,,,0.721790611743927,,,2.85876727104187,,,,,,,
periodic_nd,36,soft_eikonal,7993,0.5885259024540357,,0.5885259024540357,0.5702757041558124,4.144371986333302,,,,0.6996461947758993,,,3.4268964926401773,0.07245501748914575,0.04421184573138633,0.09079290615897938,0.13115626573562622,0.10669885575771332,0.11486651500066121,0.5431001583735148
periodic_wells,16,ordinary_mlp,2277,0.7539244520744903,,0.7539244520744903,0.5643760334007721,0.3212710553333409,675.0,775.0,,0.3724704732497533,,,7.636784553527832,,,,,,,
periodic_wells,16,soft_eikonal,2277,0.992065252423545,,0.992065252423545,0.8799976010821345,4.017536708333334,191.66666666666666,241.66666666666666,,0.0079996717783312,,,3.505354642868042,0.7025534634241595,0.7321455995208765,0.826241632406429,0.11614610254764557,0.08478160699208577,0.14974186569452286,0.48653292655944824
periodic_wells,36,ordinary_mlp,7777,0.9903139786254189,,0.9903139786254189,0.694237719015923,0.5436762639999984,575.0,633.3333333333334,,0.009805379590640465,,,3.5717222690582275,,,,,,,
periodic_wells,36,soft_eikonal,7777,0.9948174228393807,,0.9948174228393807,0.9089738393914728,4.195210000333343,150.0,183.33333333333334,,0.0052129710869242745,,,3.4839014212290444,0.6641247008372265,0.7000360050881321,0.7574989820129568,0.08559747909506162,0.08440693964560826,0.10302540163199107,0.447037676970164
